martin - infinity (2010 update).json	(mean=1.7 std=2.0 motion=3.4)
beta106at shape - mash0001 - so sue me if i voted against anti-rape.json	(mean=1.0 std=1.7 motion=3.9)
ShadowHarlequin - Fitting Butterfly - v4 - [Loadus & Geiss - FractalDrop 22] v2v2v2v2newcolorsv2v2-22v2-NEWv222v2 bennett.json	(mean=1.5 std=4.1 motion=1.6)
Redi Jedi - pladman is no more.json	(mean=5.0 std=1.9 motion=4.0)
ORB - Acid Lamp.json	(mean=34.4 std=3.9 motion=2.1)
Goody + martin - crystal palace - Aqua Lumens.json	(mean=1.6 std=5.1 motion=0.9)
Phat_Zylot_Eo.S. spiral_Movements_Beatle_square.mix.json	(mean=82.6 std=3.3 motion=3.4)
flexi - can′t think of mosaic cages.json	(mean=3.8 std=6.8 motion=0.0)
fiShbRaiN + Flexi - witchcraft unleashed [00 the template].json	(mean=1.2 std=5.1 motion=2.5)
martin - sphery tales.json	(mean=20.7 std=6.8 motion=0.9)
Goody - Need.json	(mean=2.2 std=7.0 motion=1.8)
Flexi - oldschool tree.json	(mean=253.7 std=7.4 motion=1.4)
martin + stahlregen - martin in da mash 1.json	(mean=106.6 std=7.5 motion=1.8)
Zylot - Building Block of color - Bitcore Tweak.json	(mean=5.4 std=6.6 motion=3.3)
